gene_id	Neu3h_R1
ENSG00000000419.9	17.15543549
ENSG00000000457.10	1.173475767
ENSG00000000460.13	1.324570885
ENSG00000000938.9	9.197671301
ENSG00000001036.10	8.861133179
ENSG00000001084.7	11.08258774
ENSG00000001167.11	4.755358072
ENSG00000001460.14	0.912202087
ENSG00000001461.13	2.385374964
ENSG00000001497.13	10.98676048
ENSG00000001617.8	0.106088333
ENSG00000001629.6	5.1280042
ENSG00000001630.12	3.473004266
ENSG00000001631.11	10.73415395
ENSG00000002016.13	7.927329448
ENSG00000002330.10	4.090080362
ENSG00000002549.9	6.308352733
ENSG00000002726.16	2.10490276
ENSG00000002822.12	19.36976675
ENSG00000002834.14	29.84311686
ENSG00000002919.11	4.519781098
ENSG00000002933.4	0.013110446
ENSG00000003056.4	38.93124609
ENSG00000003096.10	0.373384894
ENSG00000003147.14	2.107019907
ENSG00000003249.10	0.012276752
ENSG00000003393.11	6.768891206
ENSG00000003400.11	1.236920821
ENSG00000003402.16	6.611372287
ENSG00000003436.11	0.075841042
ENSG00000003509.12	4.246104299
ENSG00000003756.13	34.60387949
ENSG00000003987.10	0.198056016
ENSG00000003989.13	0.550728571
ENSG00000004059.7	15.43916742
ENSG00000004142.8	18.05822338
ENSG00000004399.9	15.01487953
ENSG00000004455.13	45.2204107
ENSG00000004468.9	7.193777254
ENSG00000004478.6	7.464565931
ENSG00000004487.12	7.790401562
ENSG00000004534.11	25.34612051
ENSG00000004660.11	0.457093609
ENSG00000004700.12	1.853763317
ENSG00000004766.12	0.341246144
ENSG00000004777.15	3.175365575
ENSG00000004779.6	19.91516429
ENSG00000004799.7	0.002295269
ENSG00000004809.10	2.168318811
ENSG00000004864.10	1.916268375
ENSG00000004866.15	2.489827962
ENSG00000004897.8	8.308520483
ENSG00000004961.11	1.869955724
ENSG00000004975.8	2.451670159
ENSG00000005007.9	7.94313654
ENSG00000005020.9	13.81771375
ENSG00000005022.5	56.92743499
ENSG00000005075.12	1.154369527
ENSG00000005100.9	1.7229086
ENSG00000005156.8	6.271469336
ENSG00000005175.6	10.10147072
ENSG00000005187.8	0.974195395
ENSG00000005189.16	1.188800708
ENSG00000005194.11	3.417513535
ENSG00000005206.13	7.178541736
