"peak","T3h-Neu-Rep1","T3h-Neu-Rep2","T3h-Neu-Rep3","T6h-Neu-Rep1","T6h-Neu-Rep2","T6h-Neu-Rep3","T12h-Neu-Rep1","T12h-Neu-Rep2","T12h-Neu-Rep3"
"chr1_778491_779020",5,44,53,46,97,0,14,9,129
"chr1_827041_827960",0,62,102,44,115,0,20,1,144
"chr1_1115911_1116595",4,54,88,59,107,1,20,6,163
"chr1_1231683_1232396",10,45,68,50,97,1,13,5,110
"chr1_1273610_1274287",5,24,32,25,35,3,4,3,68
"chr1_1307847_1308677",2,64,81,78,120,2,15,6,161
"chr1_1375094_1375698",2,54,111,71,127,0,22,7,185
"chr1_1398972_1399916",1,42,109,50,112,2,19,7,144
"chr1_1511519_1512363",1,51,69,46,81,1,18,3,130
"chr1_1615097_1616051",14,60,79,60,104,1,15,7,142
"chr1_1658555_1659453",6,56,105,84,128,3,27,5,181
"chr1_1692453_1693713",4,80,112,93,197,3,49,8,248
"chr1_1723971_1724782",2,57,77,65,103,0,26,11,157
"chr1_1745928_1746939",4,65,100,58,124,1,33,11,159
"chr1_1908752_1909587",9,35,48,15,61,4,10,4,82
"chr1_1919123_1919718",2,45,88,59,108,0,23,6,156
"chr1_2132997_2133675",1,44,59,51,73,1,17,6,137
"chr1_2189315_2189973",1,24,46,16,27,2,13,3,55
"chr1_2227491_2228085",1,36,47,31,64,0,8,4,85
"chr1_2234257_2234820",0,44,63,19,44,0,10,2,78
"chr1_2255352_2256398",10,54,68,25,42,2,4,3,76
"chr1_2290465_2291160",3,45,54,21,40,2,10,4,79
"chr1_2391315_2391987",8,58,98,80,141,5,20,8,168
"chr1_2586146_2586813",28,25,43,55,71,8,20,2,96
"chr1_3624541_3625152",11,53,80,53,95,3,12,3,136
"chr1_3856903_3857765",0,37,90,37,89,0,20,6,156
"chr1_3900139_3901556",0,81,155,86,148,0,38,8,242
"chr1_4007420_4008019",5,14,29,16,27,1,10,4,45
"chr1_5992222_5992848",2,74,124,87,139,2,23,10,193
"chr1_6199231_6199942",1,61,101,29,66,2,14,4,90
"chr1_6579646_6580279",5,41,69,41,67,6,11,5,83
"chr1_6613288_6613853",2,60,78,62,130,0,29,6,158
"chr1_6701589_6702119",4,21,36,15,41,1,7,4,71
"chr1_6784547_6785499",3,110,193,132,249,5,27,10,325
"chr1_7961288_7961886",0,68,92,45,91,1,22,3,162
"chr1_8525732_8526259",5,43,52,23,37,2,10,4,86
"chr1_8878465_8879318",3,71,97,79,151,0,20,6,205
"chr1_9426169_9426821",7,32,43,21,30,2,12,2,54
"chr1_9428699_9429286",4,32,57,32,73,3,21,5,110
"chr1_9539070_9539713",1,26,78,36,78,0,8,3,93
"chr1_9588306_9588986",2,28,40,27,38,2,6,2,38
"chr1_9910226_9910907",4,69,86,67,116,2,16,2,166
"chr1_9943099_9943676",6,27,33,22,32,2,8,6,43
"chr1_10032484_10033224",6,61,92,60,148,0,27,4,199
"chr1_10210104_10210687",2,35,49,21,74,0,14,3,77
"chr1_10398494_10399191",5,58,117,54,106,2,18,2,157
"chr1_10430065_10431009",0,37,71,36,52,0,14,7,90
"chr1_11012142_11013105",3,55,92,36,97,1,19,8,138
"chr1_11099293_11100094",4,36,74,17,43,5,5,1,71
"chr1_11262345_11262953",0,64,87,42,84,0,15,6,104
"chr1_11272953_11273697",2,35,62,31,68,1,13,6,110
"chr1_11740750_11741249",3,21,33,15,18,6,3,0,22
"chr1_11805715_11806364",8,56,87,56,147,3,16,6,159
"chr1_11979914_11980701",8,78,107,54,104,0,16,4,161
"chr1_12019023_12019688",0,48,72,49,89,0,19,7,99
"chr1_13749093_13749644",1,27,37,28,51,0,9,4,54
"chr1_15524327_15525337",2,68,115,77,149,0,23,5,187
"chr1_15526430_15526976",2,70,114,74,125,1,31,7,192
"chr1_15603348_15603937",3,21,40,19,35,4,3,4,56
"chr1_15617124_15617932",0,39,79,38,58,0,10,3,77
"chr1_15835653_15836275",1,42,61,55,68,1,14,6,104
"chr1_16206405_16207024",2,45,61,31,61,1,10,9,103
"chr1_16366841_16367939",3,52,73,42,73,4,25,3,130
"chr1_16440185_16440998",0,38,68,27,32,1,5,2,81
"chr1_16613125_16614075",4,78,125,37,69,2,21,7,137
"chr1_16644256_16645025",2,73,135,31,78,1,25,7,134
"chr1_17053852_17054402",4,58,73,71,106,1,26,7,171
"chr1_18902093_18903167",13,63,85,40,69,3,15,2,108
"chr1_18956552_18957109",3,23,39,21,44,3,4,1,70
"chr1_19209966_19210713",4,46,75,62,78,2,18,6,107
"chr1_19596655_19597218",7,38,32,17,24,3,9,2,41
"chr1_19882023_19882698",2,35,64,26,42,1,11,1,81
"chr1_20661157_20661853",1,52,90,56,84,0,16,6,133
"chr1_20786160_20787538",8,67,103,77,124,4,19,3,190
